Rewards: 625, total: 84437
Rewards: 741, total: 85178
Rewards: 101, total: 85279
Rewards: -166, total: 85113
Rewards: 717, total: 85830
Rewards: 224, total: 86054
Rewards: 946, total: 87000
Rewards: 817, total: 87817
Rewards: 346, total: 88163
Rewards: -251, total: 87912
Rewards: 957, total: 88869
Rewards: 460, total: 89329
Rewards: 82, total: 89411
Rewards: 789, total: 90200
Rewards: 883, total: 91083
Rewards: 80, total: 91163
Rewards: 632, total: 91795
Rewards: 427, total: 92222
Rewards: 33, total: 92255
Rewards: -152, total: 92103
Rewards: 436, total: 92539
Rewards: 50, total: 92589
Rewards: 465, total: 93054
Rewards: 209, total: 93263
Rewards: 362, total: 93625
Rewards: -24, total: 93601
Rewards: 843, total: 94444
Rewards: 445, total: 94889
Rewards: 141, total: 95030
Rewards: 835, total: 95865
Rewards: 46, total: 95911
Rewards: 550, total: 96461
Rewards: 470, total: 96931
Rewards: 230, total: 97161
Rewards: 116, total: 97277
Rewards: 354, total: 97631
Rewards: 489, total: 98120
Rewards: 2, total: 98122
Rewards: 239, total: 98361
Rewards: 607, total: 98968
Rewards: 669, total: 99637
Rewards: 686, total: 100323
Rewards: 489, total: 100812
Rewards: 380, total: 101192
Rewards: 66, total: 101258
Rewards: 697, total: 101955
Rewards: 578, total: 102533
Rewards: 47, total: 102580
Rewards: 164, total: 102744
Rewards: 392, total: 103136
Rewards: 847, total: 103983
Rewards: 549, total: 104532
Rewards: 1106, total: 105638
Rewards: 282, total: 105920
Rewards: 61, total: 105981
Rewards: 248, total: 106229
Rewards: 1155, total: 107384
Rewards: 64, total: 107448
Rewards: 1126, total: 108574
Rewards: 844, total: 109418
Rewards: -45, total: 109373
Rewards: 329, total: 109702
Rewards: 30, total: 109732
Rewards: 565, total: 110297
Rewards: 1312, total: 111609
Rewards: 24, total: 111633
Rewards: 1152, total: 112785
Rewards: 472, total: 113257
Rewards: 897, total: 114154
Rewards: 1143, total: 115297
Rewards: 265, total: 115562
Rewards: 139, total: 115701
Rewards: 550, total: 116251
Rewards: 359, total: 116610
Rewards: 303, total: 116913
Rewards: 283, total: 117196
Rewards: 1129, total: 118325
Rewards: 1062, total: 119387
Rewards: 504, total: 119891
Rewards: 1391, total: 121282
Rewards: -8, total: 121274
Rewards: 703, total: 121977
Rewards: 279, total: 122256
Rewards: 425, total: 122681
Rewards: 167, total: 122848
Rewards: 445, total: 123293
Rewards: 366, total: 123659
Rewards: 309, total: 123968
Rewards: 868, total: 124836
Rewards: 595, total: 125431
Rewards: 411, total: 125842
Rewards: 908, total: 126750
Rewards: 524, total: 127274
Rewards: 1055, total: 128329
Rewards: 368, total: 128697
Rewards: 40, total: 128737
Rewards: 64, total: 128801
Rewards: 670, total: 129471
Rewards: 422, total: 129893
Rewards: 868, total: 130761
Rewards: 1340, total: 132101
Rewards: 508, total: 132609
Rewards: 808, total: 133417
Rewards: 1126, total: 134543
Rewards: 293, total: 134836
Rewards: 267, total: 135103
Rewards: -173, total: 134930
Rewards: 589, total: 135519
Rewards: 757, total: 136276
Rewards: 134, total: 136410
Rewards: 639, total: 137049
Rewards: 396, total: 137445
Rewards: 819, total: 138264
Rewards: 951, total: 139215
Rewards: 155, total: 139370
Rewards: 449, total: 139819
Rewards: 774, total: 140593
Rewards: 514, total: 141107
Rewards: 1014, total: 142121
Rewards: 688, total: 142809
Rewards: 669, total: 143478
Rewards: 1060, total: 144538
Rewards: 339, total: 144877
Rewards: 334, total: 145211
Rewards: 1643, total: 146854
Rewards: -38, total: 146816
Rewards: 126, total: 146942
Rewards: 1308, total: 148250
Rewards: 325, total: 148575
Rewards: 773, total: 149348
Rewards: 628, total: 149976
Rewards: 348, total: 150324
Rewards: 466, total: 150790
Rewards: 563, total: 151353
Rewards: 866, total: 152219
Rewards: 338, total: 152557
Rewards: 96, total: 152653
Rewards: 1983, total: 154636
Rewards: 114, total: 154750
Rewards: 695, total: 155445
